date,run_time
7/13/2018 0:00,84.2
7/14/2018 0:00,83.7
7/15/2018 0:00,82.9
7/16/2018 0:00,84.5
7/17/2018 0:00,83.1
7/18/2018 0:00,84.3
7/19/2018 0:00,83.1
7/20/2018 0:00,84.4
7/21/2018 0:00,82.8
7/22/2018 0:00,82.8
7/23/2018 0:00,83.2
7/25/2018 0:00,83.7
7/27/2018 0:00,83.87777778
7/29/2018 0:00,83.15
7/30/2018 0:00,83.8
7/31/2018 0:00,83.1
8/1/2018 0:00,83.4
8/2/2018 0:00,83.3
8/3/2018 0:00,83.5
8/4/2018 0:00,83.1
8/6/2018 0:00,83.7
8/7/2018 0:00,82.9
8/8/2018 0:00,84.1
8/9/2018 0:00,83.5
8/10/2018 0:00,83.5
8/11/2018 0:00,84.4
8/12/2018 0:00,84.1
8/13/2018 0:00,83.1
8/14/2018 0:00,82.7
8/15/2018 0:00,82.8
8/16/2018 0:00,83.2
8/17/2018 0:00,82.6
8/18/2018 0:00,83.1
8/19/2018 0:00,83.9
8/20/2018 0:00,83.7
8/21/2018 0:00,83.4
8/22/2018 0:00,82.5
8/23/2018 0:00,83.5
8/24/2018 0:00,83.7
8/25/2018 0:00,83.4
8/26/2018 0:00,89.8
8/27/2018 0:00,86.2
8/28/2018 0:00,92.7
8/29/2018 0:00,92.3
8/30/2018 0:00,84.7
8/31/2018 0:00,85.5
9/1/2018 0:00,84
9/2/2018 0:00,83.9
9/3/2018 0:00,84
9/4/2018 0:00,83.5
9/5/2018 0:00,83.4
9/6/2018 0:00,83.4
9/7/2018 0:00,83.7
9/9/2018 0:00,84.9
9/11/2018 0:00,82.9
9/13/2018 0:00,96.5
9/15/2018 0:00,83.3
9/17/2018 0:00,83.8
9/18/2018 0:00,83.35
9/19/2018 0:00,85.1
9/20/2018 0:00,85.5
9/21/2018 0:00,83.1
9/22/2018 0:00,83.5
9/23/2018 0:00,84.2
9/24/2018 0:00,84.9
9/25/2018 0:00,83.8
9/27/2018 0:00,82.7
9/29/2018 0:00,91.5
9/30/2018 0:00,83.1
10/1/2018 0:00,85
